id,type,name,nameResale,nameAI,description,latitude,longitude,annualRevenueIncreasePct,createdAt,updatedAt,parentId,picture,isFavorite
3,municipality,Alhaurín de la Torre,Alhaurín de la Torre,Alhaurín de la Torre,,36.66034180,-4.55856720,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,2,,f
4,area,Pinos de Alhaurín,,Alhaurín de la Torre,,36.64813800,-4.58565900,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
5,area,Manantiales - Lagar - Cortijo,,Alhaurín de la Torre,,36.66020700,-4.53403800,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
6,area,Centro,,Alhaurín de la Torre,,36.66034180,-4.55856720,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
7,area,El Romeral-Peñón de Zapata,,Alhaurín de la Torre,,36.68308430,-4.53588500,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
8,area,Capellanía - Retamar,,Alhaurín de la Torre,,36.66598220,-4.55028030,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
9,area,Alquería-Torrealquería,,Alhaurín de la Torre,,36.68931050,-4.59985170,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
10,area,Jardines de Alhaurín-Huerta Alta-Fuensanguínea,,Alhaurín de la Torre,,36.66031410,-4.55869650,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
11,area,Buenavista-Lauro Golf,Lauro Golf,Alhaurín de la Torre,,36.65132900,-4.63077690,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
12,area,Platero - El Limón,,Alhaurín de la Torre,,36.65930890,-4.56646280,2.1,2025-05-29 17:15:49.118854,2025-05-29 17:15:49.118854,3,,f
